what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474663651908
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474663651908
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1474663656994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663662839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663678286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663683446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663686729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663692907
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1474663695611
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1474663695613
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1474663695807
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1474663695903
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1474663696057
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1474663696179
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1474663696302
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1474663696619
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1474663697250
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1474663697523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663698142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474663698177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663706206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663716289
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474663716421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474663716481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663726198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663751119
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474663753571
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474663761071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474663773243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474663806998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474663807235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474663807783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474663809493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663829796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663831440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663831546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663833296
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474663837528
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474663837768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663867008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663868464
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474663877770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663885228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663886563
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474663886702
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1474663887020
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1474663887021
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1474663887022
