what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1474387522264
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1474387522287
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1474387522472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387522689
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1474387522751
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1474387522755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387536556
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1474387536572
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1474387538357
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474387538626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387592451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387592611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474387598131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387604190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387604343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474387609122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474387609460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474387609753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387619380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387619536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387670827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387672921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387680339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387793269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387832116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387852145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474387854663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387865350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387865506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474387867752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387873730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387873884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387873983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387876100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387883993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387885718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387885753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387889693
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474387889898
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1474388071143
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1474388071144
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1474388071144
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1474388071145
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1474388071146
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1474388071146
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1474388071147
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1474388071147
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1474388071147
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1474388071148
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1474388071149
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1474388071150
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1474388071151
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1474388071151
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1474388071151
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1474388071152
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1474388071153
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1474388071153
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1474388071154
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1474388071154
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1474388071155
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1474388071155
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1474388071155
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1474388071156
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1474388071157
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1474388071157
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1474388071158
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1474388071158
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1474388071158
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1474388071159
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1474388071159
